finger_id,filename,method,bifurcations,endings,total
l-1,l-1-1.bmp,k3m,34,261,295
l-1,l-1-1.bmp,morph,21,403,424
l-1,l-1-2.bmp,k3m,59,297,356
l-1,l-1-2.bmp,morph,25,428,453
l-1,l-1-3.bmp,k3m,31,239,270
l-1,l-1-3.bmp,morph,19,391,410
l-1,l-1-4.bmp,k3m,33,291,324
l-1,l-1-4.bmp,morph,19,428,447
l-1,l-1-5.bmp,k3m,42,306,348
l-1,l-1-5.bmp,morph,32,431,463
l-2,l-2-1.bmp,k3m,63,190,253
l-2,l-2-1.bmp,morph,31,291,322
l-2,l-2-2.bmp,k3m,64,154,218
l-2,l-2-2.bmp,morph,33,258,291
l-2,l-2-3.bmp,k3m,41,178,219
l-2,l-2-3.bmp,morph,18,266,284
l-2,l-2-4.bmp,k3m,74,142,216
l-2,l-2-4.bmp,morph,43,217,260
l-2,l-2-5.bmp,k3m,56,136,192
l-2,l-2-5.bmp,morph,32,237,269
l-3,l-3-1.bmp,k3m,149,45,194
l-3,l-3-1.bmp,morph,132,75,207
l-3,l-3-2.bmp,k3m,271,42,313
l-3,l-3-2.bmp,morph,256,84,340
l-3,l-3-3.bmp,k3m,301,53,354
l-3,l-3-3.bmp,morph,270,90,360
l-3,l-3-4.bmp,k3m,309,44,353
l-3,l-3-4.bmp,morph,292,71,363
l-3,l-3-5.bmp,k3m,221,49,270
l-3,l-3-5.bmp,morph,203,81,284
l-4,l-4-1.bmp,k3m,440,48,488
l-4,l-4-1.bmp,morph,402,71,473
l-4,l-4-2.bmp,k3m,379,54,433
l-4,l-4-2.bmp,morph,365,87,452
l-4,l-4-3.bmp,k3m,297,58,355
l-4,l-4-3.bmp,morph,290,69,359
l-4,l-4-4.bmp,k3m,431,95,526
l-4,l-4-4.bmp,morph,398,130,528
l-4,l-4-5.bmp,k3m,378,80,458
l-4,l-4-5.bmp,morph,359,93,452
l-5,l-5-1.bmp,k3m,311,70,381
l-5,l-5-1.bmp,morph,276,102,378
l-5,l-5-2.bmp,k3m,296,57,353
l-5,l-5-2.bmp,morph,264,83,347
l-5,l-5-3.bmp,k3m,322,73,395
l-5,l-5-3.bmp,morph,275,122,397
l-5,l-5-4.bmp,k3m,322,79,401
l-5,l-5-4.bmp,morph,278,123,401
l-5,l-5-5.bmp,k3m,313,57,370
l-5,l-5-5.bmp,morph,286,95,381
r-1,r-1-1.bmp,k3m,73,250,323
r-1,r-1-1.bmp,morph,33,370,403
r-1,r-1-2.bmp,k3m,46,303,349
r-1,r-1-2.bmp,morph,10,451,461
r-1,r-1-3.bmp,k3m,57,260,317
r-1,r-1-3.bmp,morph,19,395,414
r-1,r-1-4.bmp,k3m,42,217,259
r-1,r-1-4.bmp,morph,24,345,369
r-1,r-1-5.bmp,k3m,77,180,257
r-1,r-1-5.bmp,morph,47,250,297
r-2,r-2-1.bmp,k3m,55,135,190
r-2,r-2-1.bmp,morph,37,231,268
r-2,r-2-2.bmp,k3m,42,184,226
r-2,r-2-2.bmp,morph,23,266,289
r-2,r-2-3.bmp,k3m,39,207,246
r-2,r-2-3.bmp,morph,8,314,322
r-2,r-2-4.bmp,k3m,51,169,220
r-2,r-2-4.bmp,morph,25,276,301
r-2,r-2-5.bmp,k3m,61,154,215
r-2,r-2-5.bmp,morph,21,227,248
r-3,r-3-1.bmp,k3m,118,101,219
r-3,r-3-1.bmp,morph,100,153,253
r-3,r-3-2.bmp,k3m,144,91,235
r-3,r-3-2.bmp,morph,137,156,293
r-3,r-3-3.bmp,k3m,135,83,218
r-3,r-3-3.bmp,morph,117,137,254
r-3,r-3-4.bmp,k3m,94,106,200
r-3,r-3-4.bmp,morph,86,156,242
r-3,r-3-5.bmp,k3m,144,41,185
r-3,r-3-5.bmp,morph,138,72,210
r-4,r-4-1.bmp,k3m,279,38,317
r-4,r-4-1.bmp,morph,251,87,338
r-4,r-4-2.bmp,k3m,453,72,525
r-4,r-4-2.bmp,morph,413,107,520
r-4,r-4-3.bmp,k3m,338,84,422
r-4,r-4-3.bmp,morph,304,131,435
r-4,r-4-4.bmp,k3m,252,120,372
r-4,r-4-4.bmp,morph,216,186,402
r-4,r-4-5.bmp,k3m,288,93,381
r-4,r-4-5.bmp,morph,256,168,424
r-5,r-5-1.bmp,k3m,103,121,224
r-5,r-5-1.bmp,morph,77,157,234
r-5,r-5-2.bmp,k3m,73,142,215
r-5,r-5-2.bmp,morph,54,183,237
r-5,r-5-3.bmp,k3m,65,132,197
r-5,r-5-3.bmp,morph,61,212,273
r-5,r-5-4.bmp,k3m,100,124,224
r-5,r-5-4.bmp,morph,62,200,262
r-5,r-5-5.bmp,k3m,107,96,203
r-5,r-5-5.bmp,morph,90,154,244
