,l-1,l-2,l-3,l-4,l-5,r-1,r-2,r-3,r-4,r-5
l-1,0.6493572693552015,0.4380450403590039,0.34789756428252916,0.367808481241984,0.38411673716266065,0.4573950103299365,0.4100238589822937,0.3356799872385487,0.401108522945303,0.3408931472041749
l-2,0.4472059815415656,0.6668276313685456,0.4034687966010121,0.3233357018231817,0.3793210684223446,0.39501856793269796,0.47566328296874466,0.42123946747878804,0.38650458118416325,0.4831120867598541
l-3,0.35562102477448804,0.38702259687378365,0.6816419421774382,0.504251095062786,0.49946180859553585,0.333425313345634,0.3556482891920317,0.4301796514527193,0.5182005917452015,0.3899114441571552
l-4,0.36371644082995047,0.3204338983336148,0.5003785923680797,0.658689513312701,0.5246554253880581,0.3438931252085009,0.31593486743471333,0.3743699503731668,0.49290394718309416,0.3064941388477629
l-5,0.38661891919972285,0.38821371622807604,0.5179735282875412,0.5404817772972035,0.7358710590728935,0.3622200712185674,0.3701730512955093,0.4349526300916079,0.5167633042288459,0.4050970377916133
r-1,0.45496447153319947,0.39347822548322275,0.33395272599340187,0.3432043009817823,0.3538267056865612,0.5882838801371425,0.4154491573239531,0.3307901556333787,0.3731582182169682,0.33919075770587936
r-2,0.41346259123097157,0.4797615362910832,0.3576840232724096,0.30803718529752966,0.36677532672917573,0.42474395448885177,0.6081086238889732,0.434227529206937,0.367586335102579,0.4570312147209197
r-3,0.3424938302702036,0.42025893902674605,0.42917717693974944,0.38039686369434605,0.42254547603239717,0.3272456233557688,0.4425838461385601,0.6941740946666312,0.4335309578390152,0.4963228460763296
r-4,0.4006974333044041,0.3941321143927949,0.5138795085154788,0.4918652504738901,0.4925284965343468,0.3709136223371536,0.36914766933975474,0.43016049477543034,0.6505781435228423,0.39706801183147994
r-5,0.3428113724227916,0.4958686881421584,0.39266685494162623,0.31008482242427016,0.39824284403333776,0.34272904281710814,0.45499728407443757,0.49885599617380877,0.4019754145172732,0.7204650341083962
